iter	Logloss
0	0.6885201716
1	0.683837483
2	0.6786880728
3	0.6753096174
4	0.6703228898
5	0.6659355722
6	0.6613837538
7	0.6565734701
8	0.6521960369
9	0.6473112852
10	0.6425137692
11	0.6394714577
12	0.6356080094
13	0.6327320532
14	0.6283561175
15	0.6244724487
16	0.6208220938
17	0.6166693269
18	0.6127699944
19	0.6091928152
20	0.6050257487
21	0.6009770541
22	0.5986617876
23	0.5951237552
24	0.5928003452
25	0.5903965288
26	0.5869390789
27	0.5838353533
28	0.5808726955
29	0.5788276885
30	0.5768416907
31	0.574233971
32	0.5714015116
33	0.5678114185
34	0.5648183209
35	0.5621545924
36	0.5603901526
37	0.5579052352
38	0.5549391129
39	0.5518756818
40	0.5502138255
41	0.5467325422
42	0.5444891357
43	0.5417543482
44	0.5393074351
45	0.5364086621
46	0.5340870862
47	0.5312362026
48	0.5284275652
49	0.5258487925
50	0.523376926
51	0.5212797168
52	0.5198598077
53	0.517158886
54	0.5146448821
55	0.5129530159
56	0.5110723062
57	0.5088522114
58	0.5063085035
59	0.5046557558
60	0.5029803938
61	0.5018296575
62	0.4997051019
63	0.4980535076
64	0.4959229657
65	0.4939408609
66	0.4923180989
67	0.490538332
68	0.4890562134
69	0.4881079786
70	0.4863569528
71	0.4847603481
72	0.4827560516
73	0.4817627826
74	0.4805177494
75	0.4790926476
76	0.4772354042
77	0.4758690999
78	0.4742075808
79	0.4726151074
80	0.4713956029
81	0.4706771074
82	0.4696134523
83	0.4682308772
84	0.4671940564
85	0.4665275809
86	0.4651527035
87	0.4645111791
88	0.4631520372
89	0.4620282602
90	0.4603587358
91	0.4589648275
92	0.4579668446
93	0.456530434
94	0.4554723378
95	0.4539174812
96	0.4524003793
97	0.4512802096
98	0.4502456504
99	0.448872027
100	0.4479465367
101	0.4472925563
102	0.4459453
103	0.4446360773
104	0.443895968
105	0.442818155
106	0.4415973032
107	0.4406437066
108	0.4395648298
109	0.4385340565
110	0.4376531546
111	0.4367883823
112	0.4356320843
113	0.4343773921
114	0.4338057691
115	0.4330140638
116	0.4322217046
117	0.4318680661
118	0.4306745321
119	0.4294883892
120	0.4282711182
121	0.427183825
122	0.4265881094
123	0.4258466369
124	0.4252121929
125	0.4248986933
126	0.4240007364
127	0.423858739
128	0.4231519291
129	0.4222261892
130	0.4212771763
131	0.4205242396
132	0.4198646956
133	0.4191271274
134	0.4186507178
135	0.4178136826
136	0.4171688077
137	0.4167555103
